School_ID,Legacy_Unit_ID,Finance_ID,Short_Name,Long_Name,Primary_Category,Is_High_School,Is_Middle_School,Is_Elementary_School,Is_Pre_School,Summary,Administrator_Title,Administrator,Secondary_Contact_Title,Secondary_Contact,Address,City,State,Zip,Phone,Fax,CPS_School_Profile,Website,Facebook,Twitter,Youtube,Pinterest,Attendance_Boundaries,Grades_Offered_All,Grades_Offered,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Statistics_Description,Demographic_Description,Dress_Code,PreK_School_Day,Kindergarten_School_Day,School_Hours,Freshman_Start_End_Time,After_School_Hours,Earliest_Drop_Off_Time,Classroom_Languages,Bilingual_Services,Refugee_Services,Title_1_Eligible,PreSchool_Inclusive,Preschool_Instructional,Significantly_Modified,Hard_Of_Hearing,Visual_Impairments,Transportation_Bus,Transportation_El,Transportation_Metra,Average_ACT_School,Mean_ACT,College_Enrollment_Rate_School,College_Enrollment_Rate_Mean,Graduation_Rate_School,Graduation_Rate_Mean,Overall_Rating,Rating_Status,Rating_Statement,Classification_Description,School_Year,Third_Contact_Title,Third_Contact_Name,Fourth_Contact_Title,Fourth_Contact_Name,Fifth_Contact_Title,Fifth_Contact_Name,Sixth_Contact_Title,Sixth_Contact_Name,Seventh_Contact_Title,Seventh_Contact_Name,Network,Is_GoCPS_Participant,Is_GoCPS_PreK,Is_GoCPS_Elementary,Is_GoCPS_High_School,Open_For_Enrollment_Date,Closed_For_Enrollment_Date,School_Latitude,School_Longitude,Location
400142,9059,0,YCCS - VIRTUAL,YCCS-Virtual HS,HS,true,false,false,false,,Director,,,,1900 W VAN BUREN ST,Chicago,Illinois,60612,312-429-0027,312-243-5733,https://www.cps.edu/schools/schoolprofiles/400142,https://cps.edu/yccsvirtualhs,,,,,false,"9,10,11,12",9-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,There is not any Demographic information for this school at this time,false,,,,,,,,,,,,,,,,,,,,,,,,,Inability to Rate,NOT APPLICABLE,"This school did not have enough data to receive a rating based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2021-2022,,,,,,,,,,,Options,false,false,false,false,07/01/2012,06/30/2020,41.876317,-87.674138,POINT (-87.674138 41.876317)
610548,8678,22711,STEM,STEM Magnet Academy,ES,false,true,true,false,"The STEM Magnet Academy is the very first Chicago Public School with Science, Technology, Engineering and Mathematics as its educational foci. STEM Magnet Academy opened its doors to Kindergarten - Third grade students on September 6, 2011. Each year, STEM has added a grade each year and now services students in grades Kindergarten - Eight.  
  The
acronym STEM stands for science, technology, engineering and math. The STEM
curriculum is designed to incorporate the STEM components into all disciplines.
STEM education changes the typical teacher-centered
classroom by incorporating a curriculum that utilizes problem-solving, discovery,
exploratory learning and requires students to actively engage in a problem in
order to find its solution.",Principal,Maria J McManus,School Counselor,Cynthia J. Gulley,1522 W FILLMORE ST,Chicago,Illinois,60607,773-534-7300,773-534-7302,https://www.cps.edu/schools/schoolprofiles/610548,http://STEMMagnetAcademy.com,https://www.facebook.com/pages/The-STEM-Magnet-Academy/240922205949670,https://twitter.com/PrincipalofSTEM,,,false,"K,1,2,3,4,5,6,7,8",K-8,387,145,28,37,132,93,39,104,1,0,0,17,1,0,There are 387 students enrolled at STEM.  37.5% are Low Income Students.  7.2% are Diverse Learners.  9.6% are Limited English Learners.,The largest demographic at STEM is Black.  This demographic makes up 34.1% of the student population.  The second greatest demographic is Asian at 26.9%.,true,,Full Day,7:45AM - 2:45PM,,,7:30AM,,true,,false,,,,,,,,,,,,,,,Level 1+,GOOD STANDING,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",Schools that specialize in a specific subject area. Acceptance based on application and random lottery.,School Year 2021-2022,Zakiya Williams,School Clerk,,,,,,,,,ISP,true,false,true,false,07/01/2011,,41.868576,-87.664969,POINT (-87.664969 41.868576)
609735,1590,53121,TILDEN HS,Edward Tilden Career Community Academy HS,HS,true,false,false,false,"At Tilden, we wish the best for all students. Tilden has made great progress the past 3 years. Attendance has increased by 11%, misconducts have decreased by 36%, our Freshmen-On-Track rate has increased 23%, test scores have improved, and we have engaged families towards the goal of graduating all students college and career ready.  In 2015-2016, we will offer CTE Culinary Arts and have a partnership with Genesys Works.. Tilden is becoming a premier neighborhood school.  Two key features we have implemented are: 
 
4x4 Block Schedule:  
 
Tilden students take 4 classes per semester and earn 1 full credit at the end of the semester.This college-like structure allows students to earn 8 credits per year instead of 7 at other schools. Students have more room in their schedule to take AP courses, Dual Credit Courses, or participate in work-study programs. 
 
 
    .tb_button {padding:1px;cursor:pointer;border-right: 1px solid #8b8b8b;border-left: 1px solid #FFF;border-bottom: 1px solid #fff;}.tb_button.hover {borer:2px outset #def; background-color: #f8f8f8 !important;}.ws_toolbar {z-index:100000} .ws_toolbar .ws_tb_btn {cursor:pointer;border:1px solid #555;padding:3px}   .tb_highlight{background-color:yellow} .tb_hide {visibility:hidden} .ws_toolbar img {padding:2px;margin:0px}
 
 
    .tb_button {padding:1px;cursor:pointer;border-right: 1px solid #8b8b8b;border-left: 1px solid #FFF;border-bottom: 1px solid #fff;}.tb_button.hover {borer:2px outset #def; background-color: #f8f8f8 !important;}.ws_toolbar {z-index:100000} .ws_toolbar .ws_tb_btn {cursor:pointer;border:1px solid #555;padding:3px}   .tb_highlight{background-color:yellow} .tb_hide {visibility:hidden} .ws_toolbar img {padding:2px;margin:0px}",Principal,Dawn M Ramos,Assistant Principal,Sean Smith,4747 S UNION AVE,Chicago,Illinois,60609,773-535-1625,773-535-1866,https://www.cps.edu/schools/schoolprofiles/609735,https://tilden.cps.edu,https://www.facebook.com/Tilden-Career-Community-Academy-324135324345404/,https://twitter.com/TildenCCA,http://www.youtube.com/tccatv,,true,"9,10,11,12",9-12,182,158,48,44,71,92,14,3,0,0,0,0,0,2,There are 182 students enrolled at TILDEN HS.  86.8% are Low Income Students.  26.4% are Diverse Learners.  24.2% are Limited English Learners.,The largest demographic at TILDEN HS is Hispanic.  This demographic makes up 50.5% of the student population.  The second greatest demographic is Black at 39%.,true,,,"8:00AM - 3:31PM (M, T, Th, F), 8:00AM - 1:46 (W)",,3:30 pm - 6:30 pm,7:30 am,Spanish,true,false,true,,,,,,"8, 44, 47",Red,,,,56.7,67.2,62,78.9,Level 2,INTENSIVE SUPPORT,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2021-2022,,,,,,,,,,,Network 16,true,false,false,true,09/01/2004,,41.80751,-87.642966,POINT (-87.642966 41.80751)
609855,2780,30031,CHRISTOPHER,Walter S Christopher Elementary School,ES,false,true,true,false,Christopher provides a general academic program for Kindergarten through Eighth and a special education program for students with physical disabilities and other health impairments. Special education students are educated along with their non-disabled peers in a caring and inclusive community.,Principal,Katherine M Gallagher,,,5042 S ARTESIAN AVE,Chicago,Illinois,60632,773-535-9375,773-535-9567,https://www.cps.edu/schools/schoolprofiles/609855,https://www.christopherschool.org,,,,,false,"K,1,2,3,4,5,6,7,8",K-8,326,274,165,189,42,272,11,0,0,0,0,0,1,0,There are 326 students enrolled at CHRISTOPHER.  84% are Low Income Students.  50.6% are Diverse Learners.  58% are Limited English Learners.,The largest demographic at CHRISTOPHER is Hispanic.  This demographic makes up 83.4% of the student population.  The second greatest demographic is Black at 12.9%.,true,,Full Day,7:30 AM-2:30 PM,,,,,,,true,,,true,,,"48, 49, 94",Orange,,,,,,,,Level 2,PROVISIONAL SUPPORT,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2021-2022,,,,,,,,,,,Network 8,false,false,false,false,09/01/2004,,41.801659,-87.685607,POINT (-87.685607 41.801659)
609935,3490,29091,GALLISTEL,Matthew Gallistel Elementary Language Academy,ES,false,true,true,true,"Gallistel Language Academy is a neighborhood school.  It offers Spanish and French language programs starting in kindergarten through 8th grade.  Gallistel also provides a rigorous academic program that is student-centered, data driven, and promotes a positive learning environment for the students, teachers, and community.  We offer a school-wide positive behavior intervention program (PBIS) known as “Purple Pride” with goals, incentives, and activities throughout the year.  Gallistel received a Creative School Certification in the Arts.  It also offers opportunities in before and after school programs including sports, choir, band and an engaging after school drama program.  We have partnerships with the Museum of Science and Industry, Rochelle Lee, Donors Choose and a school community board that is comprised of all parent driven organizations functioning within the school.",Principal,Kimberly Joyce Nelson,Assistant Principal,Josephine Mounts,10347 S EWING AVE,Chicago,Illinois,60617,773-535-6540,773-535-6569,https://www.cps.edu/schools/schoolprofiles/609935,http://gallistel.cps.edu/,https://www.facebook.com/Gallistel/,,,,true,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",597,483,81,196,40,548,5,0,3,0,0,1,0,0,There are 597 students enrolled at GALLISTEL.  80.9% are Low Income Students.  13.6% are Diverse Learners.  32.8% are Limited English Learners.,The largest demographic at GALLISTEL is Hispanic.  This demographic makes up 91.8% of the student population.  The second greatest demographic is Black at 6.7%.,true,Full and Half Day,Full Day,8:00 AM-3:00 PM,,3:00 PM-5:00 PM,7:30 AM,Spanish,true,,true,,,,,,,,,,,,,,,Level 1,GOOD STANDING,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",Schools that specialize in a specific subject area. Acceptance based on application and random lottery.,School Year 2021-2022,,,,,,,,,,,Network 13,true,false,true,false,09/01/2004,,41.706801,-87.535175,POINT (-87.535175 41.706801)
610593,9696,69617,OMBUDSMAN - ROSELAND HS,Ombudsman Chicago - Roseland HS,HS,true,false,false,false,"Ombudsman Educational Services provides alternative education programs for high school students who have dropped out or who are at risk of dropping out of school.  A flexible schedule with morning, afternoon, and full day sessions means students don’t have to choose between life and school. Ombudsman offers academic, social and behavioral support so that students earn their high school diplomas and are prepared to make positive choices about the future.  Ombudsman utilizes a number of research-based curriculum resources to deliver its instructional model. Initial and ongoing teacher-led instruction is tailored to ensure each student earns the necessary credits to arrive at graduation in accordance with his or her success plan. Ombudsman’s rigorous and relevant academic programs are accredited by AdvancED and aligned to Common Core and state-specific standards.",Principal,,Principal,Robert Turner,10928 S HALSTED,Chicago,IL,60628,,,https://www.cps.edu/schools/schoolprofiles/610593,https://chicago.ombudsman.com/,https://www.facebook.com/ombudsmaneducation,https://twitter.com/ombudsmaned,https://www.youtube.com/OmbudsmanEducation,,false,"9,10,11,12",9-12,161,124,26,1,153,7,1,0,0,0,0,0,0,0,There are 161 students enrolled at OMBUDSMAN - ROSELAND HS.  77% are Low Income Students.  16.1% are Diverse Learners.  0.6% are Limited English Learners.,The largest demographic at OMBUDSMAN - ROSELAND HS is Black.  This demographic makes up 95% of the student population.  The second greatest demographic is Hispanic at 4.3%.,true,,,7:30 am - 4:00 pm,,,,,false,,true,,,,,,"8A, 108",,,,,,,,,Inability to Rate,GOOD STANDING,"This school did not have enough data to receive a rating based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",Schools that have their own processes for enrollment.,School Year 2021-2022,Lead Teacher,Chandra Butler,,,,,,,,,Options,false,false,false,false,08/01/2019,,41.695105,-87.642816,POINT (-87.642816 41.695105)
609745,1700,49031,SOUTHSIDE HS,Southside Occupational Academy High School,HS,true,false,false,false,"Southside Occupational Academy High School is a Transition Center for students with special needs aged 16-21 years.  We provide individualized education and training to students in the areas of Applied Academics, Independent Functioning, Vocational, and Social Learning Skills.  We offer each student the opportunity to learn within many contextualized environments throughout the school.  We have developed instructional labs in the areas of retail, grocery, office, culinary, hospitality, laundry, dish room, carpentry, and daily living.  Our counseling staff works closely with agency providers to support students and their families their transition from the public school system.  Please visit our website for more details.",Principal,Joshua Neil Long,Assistant Principal,Michiko Amos,7342 S HOYNE AVE,Chicago,Illinois,60636,773-535-9100,773-535-9110,https://www.cps.edu/schools/schoolprofiles/609745,https://southsideacademycps.org,https://www.facebook.com/southsideocc/,,,,false,"11,12",11-12,378,315,378,85,230,127,19,1,0,0,0,1,0,0,There are 378 students enrolled at SOUTHSIDE HS.  83.3% are Low Income Students.  100% are Diverse Learners.  22.5% are Limited English Learners.,The largest demographic at SOUTHSIDE HS is Black.  This demographic makes up 60.8% of the student population.  The second greatest demographic is Hispanic at 33.6%.,true,,,9:00  AM - 4:15  PM,,,8:50 AM,,true,,true,,,,,,,,,,,0,67.2,,,Inability to Rate,GOOD STANDING,"This school did not have enough data to receive a rating based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",Schools for students with disabilities who reside in specified geographic locations. Acceptance based on students’ Individualized Education Program.,School Year 2021-2022,Assistant Principal,Jennifer Bollinger,,,,,,,,,ISP,false,false,false,false,09/01/2004,,41.759852,-87.675947,POINT (-87.675947 41.759852)
609827,2520,29021,BURNSIDE,Burnside Elementary Scholastic Academy,ES,false,true,true,true,"Burnside Scholastic Academy offers students an academic program set in a disciplined environment with a strong emphasis on reading, mathematics, writing, science, and computer technology. Burnside has been awarded the Comprehensive Gifted Program for Grades 1-8. Special education program is available for all grade levels.",Principal,Kelly Ann Thigpen,Other,Mrs. Vicki Brown,650 E 91ST PL,Chicago,Illinois,60619,773-535-3300,773-535-3230,https://www.cps.edu/schools/schoolprofiles/609827,https://burnsidescholasticacademy.org,,,,,false,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",339,240,56,1,333,6,0,0,0,0,0,0,0,0,There are 339 students enrolled at BURNSIDE.  70.8% are Low Income Students.  16.5% are Diverse Learners.  0.3% are Limited English Learners.,The largest demographic at BURNSIDE is Black.  This demographic makes up 98.2% of the student population.  The second greatest demographic is Hispanic at 1.8%.,true,Half Day,Full Day,07:45 AM-02:45 PM,,,,,,,true,,,,,,4,,Metra Electric District (ME),,,,,,,Level 2+,GOOD STANDING,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .",Schools that specialize in a specific subject area. Acceptance based on application and random lottery.,School Year 2021-2022,,,,,,,,,,,Network 12,true,false,true,false,09/01/2004,,41.728481,-87.607435,POINT (-87.607435 41.728481)
609818,2450,22401,BURBANK,Luther Burbank Elementary School,ES,false,true,true,true,"Burbank is recognized as a model school within its region. Burbank offers General, Special Education and Bilingual Education for qualified students.Technology plays a starring role at our school. Burbank has two computer labs and Internet access throughout the school. Association, University of Illinois at Chicago and Merit Music Association, for string music instruction. Parent involvement includes ESL, GED, Mentoring and parent organizations
 
    .tb_button {padding:1px;cursor:pointer;border-right: 1px solid #8b8b8b;border-left: 1px solid #FFF;border-bottom: 1px solid #fff;}.tb_button.hover {borer:2px outset #def; background-color: #f8f8f8 !important;}.ws_toolbar {z-index:100000} .ws_toolbar .ws_tb_btn {cursor:pointer;border:1px solid #555;padding:3px}   .tb_highlight{background-color:yellow} .tb_hide {visibility:hidden} .ws_toolbar img {padding:2px;margin:0px}
 
 
    .tb_button {padding:1px;cursor:pointer;border-right: 1px solid #8b8b8b;border-left: 1px solid #FFF;border-bottom: 1px solid #fff;}.tb_button.hover {borer:2px outset #def; background-color: #f8f8f8 !important;}.ws_toolbar {z-index:100000} .ws_toolbar .ws_tb_btn {cursor:pointer;border:1px solid #555;padding:3px}   .tb_highlight{background-color:yellow} .tb_hide {visibility:hidden} .ws_toolbar img {padding:2px;margin:0px}
 
 
    .tb_button {padding:1px;cursor:pointer;border-right: 1px solid #8b8b8b;border-left: 1px solid #FFF;border-bottom: 1px solid #fff;}.tb_button.hover {borer:2px outset #def; background-color: #f8f8f8 !important;}.ws_toolbar {z-index:100000} .ws_toolbar .ws_tb_btn {cursor:pointer;border:1px solid #555;padding:3px}   .tb_highlight{background-color:yellow} .tb_hide {visibility:hidden} .ws_toolbar img {padding:2px;margin:0px}",Principal,Edward C Collins,Assistant Principal,Maria Taneff,2035 N MOBILE AVE,Chicago,Illinois,60639,773-534-3000,773-534-3338,https://www.cps.edu/schools/schoolprofiles/609818,https://burbank.cps.edu,,,,,true,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",732,591,119,384,31,681,12,3,5,0,0,0,0,0,There are 732 students enrolled at BURBANK.  80.7% are Low Income Students.  16.3% are Diverse Learners.  52.5% are Limited English Learners.,The largest demographic at BURBANK is Hispanic.  This demographic makes up 93% of the student population.  The second greatest demographic is Black at 4.2%.,true,Full and Half Day,Full Day,7:30 AM-2:30 PM,,3:00 PM - 4:00 PM,7:15 AM,Spanish for Heritage Speakers,true,,true,,,,,,86,,Milwaukee District West (MD-W),,,,,,,Level 1+,GOOD STANDING,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2021-2022,,,Literacy Coach,Patricia Fortune,,,,,,,Network 3,true,false,true,false,09/01/2004,,41.917598,-87.7827,POINT (-87.7827 41.917598)
610136,5500,25021,PRESCOTT,William H Prescott Elementary School,ES,false,true,true,false,"In 2019, Prescott won the National Blue Ribbon School award from the the US Department of Education.In 2018, Prescott was one of only 13 schools among 700+ to be named a fully Healthy School. Chicago Magazine named Prescott #13 out of over 400 elementary schools in Chicago (September, 2019) and #14 in 2016. Prescott scores in the top 9% of schools nationally in reading and 11% in math on the yearly NWEA/MAP assessment. Prescott’s enrollment has increased an average of 10% in each of the past five years. Seven teachers are Nationally Board Certified.   
 
Prescott Magnet Cluster School partners with Alliant Credit Union Foundation, the Erikson Institute, DePaul University, Prescott Parents ( http://www.prescottparents.com/ ) to provide high-quality learning experiences to students and their families.",Principal,Erin W Roche,Assistant Principal,Amanda Malsch,1632 W WRIGHTWOOD AVE,Chicago,Illinois,60614,773-534-5505,773-534-5542,https://www.cps.edu/schools/schoolprofiles/610136,https://prescottparents.com,https://www.facebook.com/PrescottPTA,https://twitter.com/PrescottCPS,,,true,"K,1,2,3,4,5,6,7,8",K-8,417,115,60,36,49,138,176,32,2,0,0,19,1,0,There are 417 students enrolled at PRESCOTT.  27.6% are Low Income Students.  14.4% are Diverse Learners.  8.6% are Limited English Learners.,The largest demographic at PRESCOTT is White.  This demographic makes up 42.2% of the student population.  The second greatest demographic is Hispanic at 33.1%.,true,Half Day,Full Day,08:45 AM-03:45 PM,,Right at School enrollment until 6pm,8:30 (7:30 if enrolled in YMCA),,,,false,,,,,,"9, 74, 76",,,,,,,,,Level 1,GOOD STANDING,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2021-2022,,,,,,,,,,,Network 4,true,false,true,false,09/01/2004,,41.928841,-87.669528,POINT (-87.669528 41.928841)
