School_ID,Short_Name,Long_Name,School_Type,Primary_Category,Address,City,State,Zip,Phone,Fax,CPS_School_Profile,Website,Progress_Report_Year,Blue_Ribbon_Award_Year,Excelerate_Award_Gold_Year,Spot_Light_Award_Year,Improvement_Award_Year,Excellence_Award_Year,Student_Growth_Rating,Student_Growth_Description,Growth_Reading_Grades_Tested_Pct_ES,Growth_Reading_Grades_Tested_Label_ES,Growth_Math_Grades_Tested_Pct_ES,Growth_Math_Grades_Tested_Label_ES,Student_Attainment_Rating,Student_Attainment_Description,Attainment_Reading_Pct_ES,Attainment_Reading_Lbl_ES,Attainment_Math_Pct_ES,Attainment_Math_Lbl_ES,Culture_Climate_Rating,Culture_Climate_Description,School_Survey_Student_Response_Rate_Pct,School_Survey_Student_Response_Rate_Avg_Pct,School_Survey_Teacher_Response_Rate_Pct,School_Survey_Teacher_Response_Rate_Avg_Pct,School_Survey_Parent_Response_Rate_Pct,School_Survey_Parent_Response_Rate_Avg_Pct,Healthy_School_Certification,Healthy_School_Certification_Description,Creative_School_Certification,Creative_School_Certification_Description,NWEA_Reading_Growth_Grade_3_Pct,NWEA_Reading_Growth_Grade_3_Lbl,NWEA_Reading_Growth_Grade_4_Pct,NWEA_Reading_Growth_Grade_4_Lbl,NWEA_Reading_Growth_Grade_5_Pct,NWEA_Reading_Growth_Grade_5_Lbl,NWEA_Reading_Growth_Grade_6_Pct,NWEA_Reading_Growth_Grade_6_Lbl,NWEA_Reading_Growth_Grade_7_Pct,NWEA_Reading_Growth_Grade_7_Lbl,NWEA_Reading_Growth_Grade_8_Pct,NWEA_Reading_Growth_Grade_8_Lbl,NWEA_Math_Growth_Grade_3_Pct,NWEA_Math_Growth_Grade_3_Lbl,NWEA_Math_Growth_Grade_4_Pct,NWEA_Math_Growth_Grade_4_Lbl,NWEA_Math_Growth_Grade_5_Pct,NWEA_Math_Growth_Grade_5_Lbl,NWEA_Math_Growth_Grade_6_Pct,NWEA_Math_Growth_Grade_6_Lbl,NWEA_Math_Growth_Grade_7_Pct,NWEA_Math_Growth_Grade_7_Lbl,NWEA_Math_Growth_Grade_8_Pct,NWEA_Math_Growth_Grade_8_Lbl,NWEA_Reading_Attainment_Grade_2_Pct,NWEA_Reading_Attainment_Grade_2_Lbl,NWEA_Reading_Attainment_Grade_3_Pct,NWEA_Reading_Attainment_Grade_3_Lbl,NWEA_Reading_Attainment_Grade_4_Pct,NWEA_Reading_Attainment_Grade_4_Lbl,NWEA_Reading_Attainment_Grade_5_Pct,NWEA_Reading_Attainment_Grade_5_Lbl,NWEA_Reading_Attainment_Grade_6_Pct,NWEA_Reading_Attainment_Grade_6_Lbl,NWEA_Reading_Attainment_Grade_7_Pct,NWEA_Reading_Attainment_Grade_7_Lbl,NWEA_Reading_Attainment_Grade_8_Pct,NWEA_Reading_Attainment_Grade_8_Lbl,NWEA_Math_Attainment_Grade_2_Pct,NWEA_Math_Attainment_Grade_2_Lbl,NWEA_Math_Attainment_Grade_3_Pct,NWEA_Math_Attainment_Grade_3_Lbl,NWEA_Math_Attainment_Grade_4_Pct,NWEA_Math_Attainment_Grade_4_Lbl,NWEA_Math_Attainment_Grade_5_Pct,NWEA_Math_Attainment_Grade_5_Lbl,NWEA_Math_Attainment_Grade_6_Pct,NWEA_Math_Attainment_Grade_6_Lbl,NWEA_Math_Attainment_Grade_7_Pct,NWEA_Math_Attainment_Grade_7_Lbl,NWEA_Math_Attainment_Grade_8_Pct,NWEA_Math_Attainment_Grade_8_Lbl,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Suspensions_Per_100_Students_Year_1_Pct,Suspensions_Per_100_Students_Year_2_Pct,Suspensions_Per_100_Students_Avg_Pct,Misconducts_To_Suspensions_Year_1_Pct,Misconducts_To_Suspensions_Year_2_Pct,Misconducts_To_Suspensions_Avg_Pct,Average_Length_Suspension_Year_1_Pct,Average_Length_Suspension_Year_2_Pct,Average_Length_Suspension_Avg_Pct,Behavior_Discipline_Year_1,Behavior_Discipline_Year_2,School_Survey_School_Community,School_Survey_Parent_Teacher_Partnership,School_Survey_Quality_Of_Facilities,Student_Attendance_Year_1_Pct,Student_Attendance_Year_2_Pct,Student_Attendance_Avg_Pct,Teacher_Attendance_Year_1_Pct,Teacher_Attendance_Year_2_Pct,Teacher_Attendance_Avg_Pct,One_Year_Dropout_Rate_Year_1_Pct,One_Year_Dropout_Rate_Year_2_Pct,One_Year_Dropout_Rate_Avg_Pct,Other_Metrics_Year_1,Other_Metrics_Year_2,Freshmen_On_Track_School_Pct_Year_2,Freshmen_On_Track_CPS_Pct_Year_2,Freshmen_On_Track_School_Pct_Year_1,Freshmen_On_Track_CPS_Pct_Year_1,Graduation_4_Year_School_Pct_Year_2,Graduation_4_Year_CPS_Pct_Year_2,Graduation_4_Year_School_Pct_Year_1,Graduation_4_Year_CPS_Pct_Year_1,Graduation_5_Year_School_Pct_Year_2,Graduation_5_Year_CPS_Pct_Year_2,Graduation_5_Year_School_Pct_Year_1,Graduation_5_Year_CPS_Pct_Year_1,College_Enrollment_School_Pct_Year_2,College_Enrollment_CPS_Pct_Year_2,College_Enrollment_School_Pct_Year_1,College_Enrollment_CPS_Pct_Year_1,College_Persistence_School_Pct_Year_2,College_Persistence_CPS_Pct_Year_2,College_Persistence_School_Pct_Year_1,College_Persistence_CPS_Pct_Year_1,Progress_Toward_Graduation_Year_1,Progress_Toward_Graduation_Year_2,State_School_Report_Card_URL,Mobility_Rate_Pct,Chronic_Truancy_Pct,Empty_Progress_Report_Message,School_Survey_Rating_Description,Supportive_School_Award,Supportive_School_Award_Desc,Parent_Survey_Results_Year,School_Latitude,School_Longitude,PSAT_Grade_9_Score_School_Avg,PSAT_Grade_10_Score_School_Avg,SAT_Grade_11_Score_School_Avg,SAT_Grade_11_Score_CPS_Avg,Growth_PSAT_Grade_9_School_Pct,Growth_PSAT_Grade_9_School_Lbl,Growth_PSAT_Reading_Grade_10_School_Pct,Growth_PSAT_Reading_Grade_10_School_Lbl,Growth_SAT_Grade_11_School_Pct,Growth_SAT_Grade_11_School_Lbl,Attainment_PSAT_Grade_9_School_Pct,Attainment_PSAT_Grade_9_School_Lbl,Attainment_PSAT_Grade_10_School_Pct,Attainment_PSAT_Grade_10_School_Lbl,Attainment_SAT_Grade_11_School_Pct,Attainment_SAT_Grade_11_School_Lbl,Attainment_All_Grades_School_Pct,Attainment_All_Grades_School_Lbl,Growth_PSAT_Math_Grade_10_School_Pct,Growth_PSAT_Math_Grade_10_School_Lbl,Growth_SAT_Reading_Grade_11_School_Pct,Growth_SAT_Reading_Grade_11_School_Lbl,Growth_SAT_Math_Grade_11_School_Pct,Growth_SAT_Math_Grade_11_School_Lbl
609704,FARRAGUT HS,David G Farragut Career Academy High School,Neighborhood,HS,2345 S CHRISTIANA AVE,Chicago,Illinois,60623,773-534-1300,773-534-1336,https://www.cps.edu/schools/schoolprofiles/609704,https://fcaib.org,2020,,,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,,,,,NO DATA AVAILABLE,"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",,,,,NO DATA AVAILABLE,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit   https://www.5-essentials.org/ .",,,,,,,Not Achieved,"Students learn better at healthy schools! Due to Covid-19, data is not available for Healthy CPS for SY2020. Learn more by visiting  cps.edu/healthycps.",,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  https://www.cpsarts.org/home/arts-liaisons/creative-schools-initiative/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,5,2.8,23.2,7.9,12.4,1.6 days,1.4 days,1.9 days,2019,2020,,,,86.8,,,93.7,93.5,94.6,3.3,6.4,5.6,2019,2020,,,90.3,88.5,61.6,80.6,69.7,79.7,71.1,82.5,67.8,80.9,56.2,67,54.5,67.2,51.8,73.7,58.2,73.2,2019,2020,http://iirc.niu.edu/School.aspx?schoolid=150162990250011,20,46.3,,,ESTABLISHED,"This school has put in place systems and structures to support social and emotional learning (SEL). This may include SEL action plans, ongoing training for teachers and staff, partnerships with community organizations, time for SEL in the master schedule, and/or targeted and intensive SEL services.",2020,41.84856,-87.708706,,,,,,,,,,,,,,,,,,,,,,,,
610276,MOLLISON,Irvin C Mollison Elementary School,Neighborhood,ES,4415 S DR MARTIN L KING JR DR,Chicago,Illinois,60653,773-535-1804,773-535-1803,https://www.cps.edu/schools/schoolprofiles/610276,https://cps.edu/mollison,2020,,2020,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,NO DATA AVAILABLE,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit   https://www.5-essentials.org/ .",,,,,,,Not Achieved,"Students learn better at healthy schools! Due to Covid-19, data is not available for Healthy CPS for SY2020. Learn more by visiting  cps.edu/healthycps.",,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  https://www.cpsarts.org/home/arts-liaisons/creative-schools-initiative/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,5.5,2.8,3.9,7.9,12.4,2.0 days,1.4 days,1.9 days,2019,2020,,,,93.7,,,95.6,95.2,94.6,,,,2019,2020,,,,,,,,,,,,,,,,,,,,,2019,2020,http://iirc.niu.edu/School.aspx?schoolid=150162990252354,14.2,8.8,,,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2020,41.814358,-87.616618,,,,,,,,,,,,,,,,,,,,,,,,
610230,WILDWOOD,Wildwood IB World Magnet School,Magnet,ES,6950 N HIAWATHA AVE,Chicago,Illinois,60646,773-534-1188,773-534-1144,https://www.cps.edu/schools/schoolprofiles/610230,https://wildwoodworldmagnet.org,2020,,,,,2012,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,NO DATA AVAILABLE,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit   https://www.5-essentials.org/ .",,,,,,,Not Achieved,"Students learn better at healthy schools! Due to Covid-19, data is not available for Healthy CPS for SY2020. Learn more by visiting  cps.edu/healthycps.",,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  https://www.cpsarts.org/home/arts-liaisons/creative-schools-initiative/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2.8,0,,12.4,0.0 days,,1.9 days,2019,2020,,,,95.3,,,94.8,95.2,94.6,,,,2019,2020,,,,,,,,,,,,,,,,,,,,,2019,2020,http://iirc.niu.edu/School.aspx?schoolid=150162990252516,0.4,1.6,,,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2020,42.007491,-87.778345,,,,,,,,,,,,,,,,,,,,,,,,
610227,WHITNEY,Eli Whitney Elementary School,Neighborhood,ES,2815 S KOMENSKY AVE,Chicago,Illinois,60623,773-534-1560,773-534-1567,https://www.cps.edu/schools/schoolprofiles/610227,http://whitney.cps.edu,2020,,2020,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,NO DATA AVAILABLE,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit   https://www.5-essentials.org/ .",,,,,,,Not Achieved,"Students learn better at healthy schools! Due to Covid-19, data is not available for Healthy CPS for SY2020. Learn more by visiting  cps.edu/healthycps.",,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  https://www.cpsarts.org/home/arts-liaisons/creative-schools-initiative/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,2.8,1.3,7.7,12.4,1.0 days,1.5 days,1.9 days,2019,2020,,,,94.7,,,94.5,94.6,94.6,,,,2019,2020,,,,,,,,,,,,,,,,,,,,,2019,2020,http://iirc.niu.edu/School.aspx?schoolid=150162990252513,5.5,6.4,,,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,2020,41.84008,-87.725546,,,,,,,,,,,,,,,,,,,,,,,,
400143,YCCS - WEST TOWN,YCCS-West Town Acad Alternative HS,Charter,HS,500 N SACRAMENTO BLVD,Chicago,Illinois,60612,312-563-9044,312-563-9672,https://www.cps.edu/schools/schoolprofiles/400143,http://westtownacademy.org,2020,,,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,,,,,NO DATA AVAILABLE,"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",,,,,NO DATA AVAILABLE,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit   https://www.5-essentials.org/ .",,,,,,,Not Achieved,"Students learn better at healthy schools! Due to Covid-19, data is not available for Healthy CPS for SY2020. Learn more by visiting  cps.edu/healthycps.",,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  https://www.cpsarts.org/home/arts-liaisons/creative-schools-initiative/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,12.4,,,1.9 days,2019,2020,,,,61.4,,,,,94.6,37.4,27.7,5.6,2019,2020,,,,,,,,,,,,,23.2,67,18,67.2,36.4,73.7,41.7,73.2,2019,2020,http://iirc.niu.edu/School.aspx?schoolid=15016299025070C,81,81.4,,,EXEMPLARY,"This school has a strong commitment and robust systems to support social and emotional learning (SEL).  Documents, observations, and interviews with students, parents, and other members of the school community demonstrate that SEL is a core part of students’ experience and the learning environment meets CPS School Climate Standards.",2020,41.890803,-87.702053,,,,,,,,,,,,,,,,,,,,,,,,
610022,KILMER,Joyce Kilmer Elementary School,Neighborhood,ES,6700 N GREENVIEW AVE,Chicago,Illinois,60626,773-534-2115,773-534-2186,https://www.cps.edu/schools/schoolprofiles/610022,https://kilmerelementary.org,2020,,2020,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,NO DATA AVAILABLE,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit   https://www.5-essentials.org/ .",,,,,,,Not Achieved,"Students learn better at healthy schools! Due to Covid-19, data is not available for Healthy CPS for SY2020. Learn more by visiting  cps.edu/healthycps.",,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  https://www.cpsarts.org/home/arts-liaisons/creative-schools-initiative/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.8,0,0,12.4,0.0 days,0.0 days,1.9 days,2019,2020,,,,95.1,,,93.7,94.1,94.6,,,,2019,2020,,,,,,,,,,,,,,,,,,,,,2019,2020,http://iirc.niu.edu/School.aspx?schoolid=150162990252296,10.2,5.6,,,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2020,42.00364,-87.668222,,,,,,,,,,,,,,,,,,,,,,,,
610157,SAWYER,Sidney Sawyer Elementary School,Neighborhood,ES,5248 S SAWYER AVE,Chicago,Illinois,60632,773-535-0440,773-535-0445,https://www.cps.edu/schools/schoolprofiles/610157,https://sawyer.cps.edu,2020,,,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,NO DATA AVAILABLE,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit   https://www.5-essentials.org/ .",,,,,,,Not Achieved,"Students learn better at healthy schools! Due to Covid-19, data is not available for Healthy CPS for SY2020. Learn more by visiting  cps.edu/healthycps.",,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  https://www.cpsarts.org/home/arts-liaisons/creative-schools-initiative/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.2,2.8,9.6,1.6,12.4,1.6 days,2.0 days,1.9 days,2019,2020,,,,95.1,,,94.1,93.4,94.6,,,,2019,2020,,,,,,,,,,,,,,,,,,,,,2019,2020,http://iirc.niu.edu/School.aspx?schoolid=150162990252435,4.1,6.4,,,ESTABLISHED,"This school has put in place systems and structures to support social and emotional learning (SEL). This may include SEL action plans, ongoing training for teachers and staff, partnerships with community organizations, time for SEL in the master schedule, and/or targeted and intensive SEL services.",2020,41.797498,-87.705006,,,,,,,,,,,,,,,,,,,,,,,,
610087,BLAIR,Blair Early Childhood Center,Special Education,ES,6751 W 63RD PL,Chicago,Illinois,60638,773-535-2076,773-535-2362,https://www.cps.edu/schools/schoolprofiles/610087,https://blair.cps.edu/,2020,,2020,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,NO DATA AVAILABLE,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit   https://www.5-essentials.org/ .",,,,,,,Not Achieved,"Students learn better at healthy schools! Due to Covid-19, data is not available for Healthy CPS for SY2020. Learn more by visiting  cps.edu/healthycps.",,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  https://www.cpsarts.org/home/arts-liaisons/creative-schools-initiative/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,12.4,,,1.9 days,2019,2020,,,,80.4,,,94.5,95,94.6,,,,2019,2020,,,,,,,,,,,,,,,,,,,,,2019,2020,http://iirc.niu.edu/School.aspx?schoolid=150162990253761,8,,,,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2020,41.776556,-87.790604,,,,,,,,,,,,,,,,,,,,,,,,
609907,ERICSON,Leif Ericson Elementary Scholastic Academy,Magnet,ES,3600 W 5TH AVE,Chicago,Illinois,60624,773-534-6660,773-534-6636,https://www.cps.edu/schools/schoolprofiles/609907,https://leifericsonelementary.org,2020,,2020,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,NO DATA AVAILABLE,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit   https://www.5-essentials.org/ .",,,,,,,Not Achieved,"Students learn better at healthy schools! Due to Covid-19, data is not available for Healthy CPS for SY2020. Learn more by visiting  cps.edu/healthycps.",,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  https://www.cpsarts.org/home/arts-liaisons/creative-schools-initiative/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,2.8,0,6.3,12.4,0.0 days,2.0 days,1.9 days,2019,2020,,,,94.7,,,93.3,93.6,94.6,,,,2019,2020,,,,,,,,,,,,,,,,,,,,,2019,2020,http://iirc.niu.edu/School.aspx?schoolid=150162990252190,7.9,9.6,,,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2020,41.875744,-87.715804,,,,,,,,,,,,,,,,,,,,,,,,
609896,DRUMMOND,Thomas Drummond Elementary School,Magnet,ES,1845 W CORTLAND ST,Chicago,Illinois,60622,773-534-4120,773-534-4199,https://www.cps.edu/schools/schoolprofiles/609896,http://drummondschool.org,2020,,,,,,NO DATA AVAILABLE,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,,,,,NO DATA AVAILABLE,Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,,,,,NO DATA AVAILABLE,"Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit   https://www.5-essentials.org/ .",,,,,,,Not Achieved,"Students learn better at healthy schools! Due to Covid-19, data is not available for Healthy CPS for SY2020. Learn more by visiting  cps.edu/healthycps.",,"This school has an arts designation of Incomplete Data, meaning it may or may not meet the goals and priorities of the CPS Arts Education Plan, but has insufficient data available to complete an assessment.  To learn more, visit:  https://www.cpsarts.org/home/arts-liaisons/creative-schools-initiative/ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9,2.8,0,9.7,12.4,0.0 days,1.0 days,1.9 days,2019,2020,,,,95.1,,,93.9,94.1,94.6,,,,2019,2020,,,,,,,,,,,,,,,,,,,,,2019,2020,http://iirc.niu.edu/School.aspx?schoolid=150162990252172,1.4,0.8,,,EMERGING,"This school has developed an action plan to support social and emotional learning (SEL). Leaders and staff have assessed their school climate, and they are beginning to adopt best practices to support SEL for all students.",2020,41.915914,-87.674495,,,,,,,,,,,,,,,,,,,,,,,,
