,School ID,Year_x,"Elementary, Middle, or High School",ZIP Code,Average Student Attendance,College Enrollment Rate %,Population
2,609680,2011,HS,60610,93.4,82.4,70268.0
5,609722,2011,HS,60612,66.8,51.9,35013.0
8,609749,2011,HS,60625,95.7,90.7,53233.0
11,610244,2011,HS,60644,79.1,60.4,28235.0
14,610394,2011,HS,60640,88.7,65.0,44964.0
17,609725,2011,HS,60643,84.2,78.5,58349.0
20,610381,2011,HS,60615,92.3,73.2,38783.0
23,609698,2011,HS,60652,75.2,50.0,62645.0
26,609712,2011,HS,60619,84.8,45.1,36677.0
29,610501,2011,HS,60644,70.1,57.6,28235.0
32,610392,2011,HS,60623,91.6,48.1,30624.0
35,610385,2011,HS,60623,89.2,58.5,30624.0
38,610535,2011,HS,60623,90.4,57.6,30624.0
41,609756,2011,HS,60632,85.0,61.3,40340.0
44,609739,2011,HS,60617,80.2,50.9,38835.0
47,610391,2011,HS,60636,92.7,85.9,26625.0
50,609764,2011,HS,60608,83.7,48.8,35477.0
53,609713,2011,HS,60637,70.5,57.6,28075.0
56,609723,2011,HS,60624,74.1,45.2,22982.0
59,609737,2011,HS,60625,87.0,78.5,53233.0
62,609745,2011,HS,60636,85.5,57.6,26625.0
65,609754,2011,HS,60653,90.3,69.3,25215.0
68,610543,2011,HS,60632,92.2,57.6,40340.0
71,609692,2011,HS,60620,78.6,74.0,35191.0
74,609694,2011,HS,60629,78.2,45.9,41549.0
77,609695,2011,HS,60625,81.1,49.1,53233.0
80,609708,2011,HS,60641,84.3,40.9,47878.0
83,609676,2011,HS,60616,76.9,51.5,43085.0
86,609732,2011,HS,60634,79.2,47.0,57744.0
89,609741,2011,HS,60629,89.3,51.3,41549.0
92,609720,2011,HS,60618,96.3,79.8,57486.0
95,609729,2011,HS,60641,81.2,40.4,47878.0
98,609736,2011,HS,60615,62.5,51.0,38783.0
101,610304,2011,HS,60612,92.1,51.3,35013.0
104,609674,2011,HS,60617,68.8,54.0,38835.0
107,610390,2011,HS,60660,92.9,63.5,38554.0
110,609719,2011,HS,60613,87.7,62.8,66589.0
113,609768,2011,HS,60621,72.2,58.2,19692.0
116,609761,2011,HS,60628,71.3,44.0,40248.0
