,Zip Code,Count of Crimes,2021,Crime Rate Per 100 People
0,60602,2963,33273.0,8.905118264057945
1,60605,2230,102572.0,2.1740825956401357
2,60607,2892,92790.0,3.1167151632719046
3,60608,2654,36940.0,7.184623714131024
4,60609,2507,30024.0,8.349986677324807
5,60610,2388,81963.0,2.9135097544013764
6,60612,4551,36606.0,12.432388133092935
7,60613,1881,77896.0,2.4147581390572044
8,60614,2443,100131.0,2.4398038569473988
9,60615,3948,43574.0,9.060448891540828
10,60616,3904,42168.0,9.25820527414153
11,60617,4171,36662.0,11.376902514865527
12,60618,2718,57500.0,4.7269565217391305
13,60619,9644,28370.0,33.99365526965104
14,60620,8821,29273.0,30.133570184128722
15,60621,7995,20030.0,39.91512730903645
16,60622,4054,87941.0,4.609908916205184
17,60623,6836,25844.0,26.45101377495744
18,60624,9185,21538.0,42.64555669050051
19,60625,3100,59897.0,5.175551363173448
20,60626,2918,33524.0,8.704211907886886
21,60628,7335,32618.0,22.48758354282911
22,60629,4362,39898.0,10.932878841044664
23,60631,940,77164.0,1.2181846456896999
24,60632,3207,36516.0,8.782451528097273
25,60634,1257,55254.0,2.2749484200238896
26,60636,8319,29265.0,28.426447975397235
27,60637,5264,25771.0,20.42606030033759
28,60638,1751,65011.0,2.6933903493254987
29,60639,5322,38410.0,13.855766727414737
30,60640,2681,50489.0,5.3100675394640415
31,60641,3383,55725.0,6.0708838043965905
32,60642,1695,97152.0,1.7446887351778657
33,60643,3504,60785.0,5.764580077321708
34,60644,6079,25538.0,23.803743441146526
35,60647,5041,63008.0,8.000571356018284
36,60649,9362,24385.0,38.3924543776912
37,60651,5777,32326.0,17.87106354018437
38,60652,1966,61179.0,3.2135209794210433
39,60653,4138,26701.0,15.497546908355492
40,60655,711,88847.0,0.8002521188109896
41,60659,2049,47623.0,4.302542888940218
42,60660,2365,44311.0,5.337275168694004
43,60827,1292,26093.0,4.951519564634193
